movie,year,rating,genre,runtime_min,imdb_rating,metascore,votes,id
Carry on Jatta 3,2023,No rating,"['Comedy', ' Drama', ' Romance']",136,8.0,No score,10591,ced918f9-d5ac-41df-b657-da95d037c730
Night Train,2023,PG-13,"['Action', ' Thriller']",95,3.6,No score,948,973c14e2-cab0-4e7a-87e6-df0718b399f0
The Ghost Within,2023,No rating,['Horror'],103,3.7,No score,133,4c876698-6452-4cee-909c-0b66448ebdbd
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,R,"['Animation', ' Action', ' Adventure']",110,7.3,No score,7999,ff7c7741-e41c-4c10-b879-56a247ef8203
On a Wing and a Prayer,2023,PG,['Drama'],102,5.5,19,4140,f7be8c4f-d6d7-461a-8b08-3dd8b4836495
Snag: Chapter One,2023,No rating,"['Action', ' Mystery', ' Thriller']",83,4.0,No score,260,7a9eaea4-7d73-402c-9041-ac65d2f9a116
The Forest Hills,2023,No rating,"['Drama', ' Horror', ' Thriller']",82,7.8,No score,58,bddff88c-e280-4067-a075-8326fcb0aa45
The Locksmith,2023,No rating,"['Action', ' Crime', ' Mystery']",92,4.8,42,1721,17bc6c74-bef6-4e16-80d6-2df29a246371
Hari Ini Akan Kita Ceritakan Nanti,2023,No rating,"['Drama', ' Romance']",117,5.7,No score,69,294b371d-17fb-47c6-a953-42b781d303d3
The Dive,2023,No rating,['Thriller'],91,No rating,No score,No votes,eea36946-6065-4f60-b63a-cb2bb82cb134
Kuru Otlar Üstüne,2023,No rating,['Drama'],197,8.0,80,535,6a0354cf-7bf1-444c-a2de-3553c1e22252
The Secret Kingdom,2023,PG,"['Adventure', ' Family']",98,5.1,No score,1461,2d646a8f-6d80-49ca-a976-48a906934869
Firebrand,2023,No rating,"['Drama', ' History']",120,6.4,61,182,3aedf058-4378-4d56-86dc-dfe1f98ff6a2
Dead Shot,2023,No rating,"['Action', ' Thriller']",92,5.4,No score,1701,2952849c-c61d-4091-9fa6-6526c555af87
Ponniyin Selvan: Part Two,2023,No rating,"['Action', ' Adventure', ' Drama']",164,7.4,No score,15960,7ab65a82-a069-4d10-904c-8021282a1802
Sen Inandir,2023,No rating,"['Comedy', ' Romance']",104,5.6,No score,1951,8ba35474-cb4a-4748-99bc-a1b06bbd4397
Kingdom: Unmei no Hono,2023,No rating,"['Action', ' History', ' War']",129,8.7,No score,67,f21b3a34-65ff-415f-a55a-be828a985217
A Tourist's Guide to Love,2023,No rating,"['Adventure', ' Comedy', ' Romance']",94,5.7,49,5499,40663b25-b14e-493e-9361-4720a8b877d7
Buddy Games: Spring Awakening,2023,R,['Comedy'],91,4.5,No score,542,fedd3c66-93cd-4d38-90c4-55570de17dc2
